,Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price,Age
4598,toyota,innova,2018,white,gas,automatic,2.7,-0.3604689897987737,eastern,73000,5
4599,ford,explorer,2017,black,gas,automatic,1.4,0.5654449284615962,eastern,73500,6
4600,chevrolet,impala,2018,gray,gas,automatic,3.6,-0.6293891134335199,riyadh,73500,5
4601,hyundai,sonata,2020,gray,gas,automatic,2.5,-0.4279835463385923,riyadh,73500,3
4602,chevrolet,caprice,2016,gray,gas,automatic,6.0,0.7742288720926611,riyadh,74000,7
4603,chevrolet,impala,2019,brown,gas,automatic,3.5,-0.3604689897987737,qassim,74000,4
4604,nissan,x-trail,2018,black,gas,automatic,2.5,-0.40387120471722854,qassim,74000,5
4605,ford,explorer,2013,white,gas,automatic,3.5,-0.16514937772907837,riyadh,74000,10
4606,gmc,yukon,2013,gray,gas,automatic,5.3,1.5781632765588758,eastern,74000,10
4607,ford,taurus,2016,white,gas,automatic,3.5,0.006038602845956073,eastern,74000,7
4608,ford,taurus,2018,blue,gas,automatic,3.5,-0.4553269417372189,riyadh,74000,5
4609,ford,taurus,2015,white,gas,automatic,3.2,0.0639082227372292,eastern,74000,8
4610,lexus,lx,2006,brown,gas,automatic,5.7,2.523367068116337,riyadh,74000,17
4611,ford,taurus,2015,brown,gas,automatic,3.5,-0.23508481336768192,eastern,74000,8
4612,lexus,es,2015,white,gas,automatic,3.5,0.3146765755994127,hail,74000,8
4613,toyota,fortuner,2015,gray,gas,automatic,4.0,0.8162132813237798,eastern,74000,8
4614,chevrolet,impala,2018,white,gas,automatic,3.6,-0.7211896204543762,eastern,74000,5
4615,hyundai,santa fe,2018,brown,gas,automatic,3.3,0.1449739152682543,riyadh,74500,5
4616,toyota,camry,2017,white,gas,automatic,2.5,-0.31423116350564645,riyadh,74500,6
4617,ford,taurus,2018,blue,gas,automatic,3.5,-0.35704503728854003,riyadh,74500,5
4618,toyota,camry,2020,gray,hybrid,automatic,2.5,-0.7944911389833221,riyadh,75000,3
4619,nissan,patrol,2012,white,gas,automatic,5.6,2.436562638279427,riyadh,75000,11
4620,mercedes,e,2014,white,gas,automatic,2.0,-0.7655563290376856,eastern,75000,9
4621,hyundai,azera,2018,brown,gas,automatic,3.5,-0.4762082295813199,riyadh,75000,5
4622,hyundai,tucson,2019,white,gas,automatic,1.0,-0.5919474693638661,riyadh,75000,4
4623,toyota,camry,2016,white,gas,automatic,2.4,-0.6401721526065938,riyadh,75000,7
4624,ford,explorer,2016,black,gas,automatic,3.5,-0.16757025682786328,riyadh,75000,7
4625,gmc,acadia,2016,white,gas,automatic,3.6,-0.21579494007059088,riyadh,75000,7
4626,toyota,avalon,2013,red,gas,automatic,3.5,0.3918360687877769,aseer,75000,10
4627,chevrolet,caprice,2015,white,gas,automatic,6.2,1.3470802393963737,riyadh,75000,8
4628,ford,taurus,2017,white,gas,automatic,3.5,0.2861179181830694,riyadh,75000,6
4629,chevrolet,caprice,2013,gray,gas,automatic,6.0,0.015683539494501592,riyadh,75000,10
4630,chevrolet,caprice,2016,white,gas,automatic,6.0,0.9801772043490535,riyadh,75000,7
4631,hyundai,santa fe,2018,white,gas,automatic,3.3,-0.9391651887115049,riyadh,75000,5
4632,gmc,sierra,2015,gray,gas,automatic,5.3,1.2213006205626915,riyadh,75000,8
4633,lexus,ls,2008,white,gas,automatic,4.6,0.015683539494501592,riyadh,75000,15
4634,toyota,camry,2018,brown,gas,automatic,2.5,-0.4183386096900468,riyadh,75000,5
4635,toyota,avalon,2016,gray,gas,automatic,3.5,-0.34117911650168264,riyadh,75000,7
4636,kia,sportage,2021,gray,gas,automatic,1.6,-1.1995784782222338,eastern,75000,2
4637,hyundai,santa fe,2018,white,gas,automatic,3.3,-0.4279835463385923,eastern,75000,5
4638,gmc,sierra,2015,white,gas,automatic,5.3,1.2598803671568737,eastern,75000,8
4639,ford,taurus,2016,white,gas,automatic,3.5,-0.5437227861211386,eastern,75000,7
4640,ford,taurus,2016,white,gas,automatic,3.5,-0.13863544688222673,eastern,75000,7
4641,ford,expedition,2015,black,gas,automatic,5.4,-0.032541143748226004,makkah,75000,8
4642,chevrolet,impala,2018,black,gas,automatic,3.6,-0.736621519092049,riyadh,75000,5
4643,chevrolet,caprice,2013,gray,gas,automatic,6.0,-0.4746746846542012,riyadh,75000,10
4644,chevrolet,caprice,2013,gray,gas,automatic,6.0,-0.03612906018148494,riyadh,75000,10
4645,toyota,avalon,2012,white,gas,automatic,3.5,0.931952521106326,aseer,75000,11
4646,chevrolet,silverado,2016,brown,gas,automatic,5.3,1.3659746702908744,eastern,75000,7
4647,gmc,yukon,2012,brown,gas,automatic,5.3,0.468995561976141,eastern,75000,11
4648,toyota,hilux,2019,white,gas,manual,2.7,-1.2369815425452935,aseer,75000,4
4649,ford,taurus,2016,black,gas,automatic,3.5,-0.1772151934764088,eastern,75000,7
4650,hyundai,tucson,2019,red,gas,automatic,2.0,-1.03561455519696,makkah,75000,4
4651,hyundai,azera,2018,white,gas,automatic,3.0,0.17964746251977542,riyadh,75000,5
