Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price
toyota,hilux,2018,white,gas,manual,2.7,201000,eastern,85000
ford,muang,2015,black,gas,manual,5,119000,eastern,85000
mercedes,s,2012,brown,gas,automatic,3,170000,makkah,85000
chevrolet,silverado,2018,gray,gas,automatic,5.3,127000,eastern,85000
toyota,land cruiser,2016,white,gas,manual,4,315,eastern,85000
toyota,fj,2014,black,gas,automatic,4,190000,makkah,85000
chevrolet,suburban,2015,brown,gas,automatic,2.8,205000,riyadh,85000
mercedes,e,2015,black,diesel,automatic,2.2,127000,makkah,85000
ford,taurus,2016,gray,gas,automatic,3.5,60100,aseer,85000
lexus,rx,2013,white,gas,automatic,3.5,190000,riyadh,85000
toyota,fortuner,2018,white,gas,automatic,2.7,224000,eastern,85000
ford,expedition,2016,black,gas,automatic,5.4,160000,riyadh,85000
toyota,land cruiser,2014,white,gas,manual,4,99000,aseer,85000
nissan,land cruiser,2016,brown,gas,manual,4.8,50000,riyadh,85000
hyundai,sonata,2019,other,gas,automatic,2.4,33000,eastern,85000
toyota,fj,2014,white,gas,automatic,4,237000,eastern,85000
toyota,camry,2019,white,gas,automatic,2.5,48000,qassim,85000
toyota,land cruiser,2012,white,gas,automatic,4.6,250000,riyadh,85000
toyota,land cruiser,2013,other,gas,manual,4,105154,riyadh,85000
toyota,fortuner,2016,white,gas,automatic,4,235000,makkah,85000
chevrolet,impala,2018,black,gas,automatic,3.6,35000,makkah,85000
ford,edge,2018,gray,gas,automatic,1.5,60000,madinah,85000
ford,expedition,2016,black,gas,automatic,1.5,170000,madinah,85000
lexus,gs,2013,brown,gas,automatic,3.5,287000,riyadh,85000
toyota,hilux,2018,white,gas,manual,2.7,35000,northern borders,85000
hyundai,sonata,2020,white,gas,automatic,2.5,46000,tabouk,85000
hyundai,tucson,2021,white,gas,automatic,2,57000,makkah,85000
gmc,yukon,2015,black,gas,automatic,5.3,278000,riyadh,85000
gmc,yukon,2016,blue,gas,automatic,5,193000,riyadh,85000
nissan,altima,2020,black,gas,cvt,2.5,86000,riyadh,85000
kia,cadenza,2020,white,gas,automatic,3.5,90000,riyadh,85000
hyundai,tucson,2021,white,gas,automatic,2,17000,makkah,85000
ford,expedition,2016,blue,gas,automatic,3.6,121000,riyadh,85000
lexus,ls,2007,black,gas,automatic,4.6,75000,riyadh,85000
hyundai,azera,2020,white,gas,automatic,3.5,122000,riyadh,85000
lexus,is,2014,black,gas,automatic,3.5,150000,eastern,85000
ford,expedition,2015,white,gas,automatic,3.5,121000,eastern,85000
toyota,hilux,2018,white,gas,automatic,2.7,84000,eastern,85000
ford,explorer,2016,black,gas,automatic,2.5,83000,riyadh,86000
ford,taurus,2016,white,gas,automatic,3.5,91815,riyadh,86000
hyundai,azera,2016,white,gas,automatic,3,111000,eastern,86000
toyota,avalon,2015,white,gas,automatic,3.5,80000,eastern,86000
toyota,land cruiser,2014,white,gas,automatic,4.6,270000,riyadh,86000
toyota,land cruiser,2013,brown,gas,manual,4.6,350000,eastern,86000
toyota,fortuner,2015,white,gas,automatic,4,103000,eastern,86000
gmc,sierra,2018,white,gas,automatic,5.3,96000,eastern,86000
gmc,sierra,2018,white,gas,automatic,5.3,95000,eastern,86000
toyota,camry,2020,white,gas,automatic,2.5,16500,eastern,86900
toyota,prado,2013,other,gas,automatic,3.8,108000,riyadh,87000
toyota,hilux,2017,white,gas,manual,2.7,62000,eastern,87000
chevrolet,silverado,2016,white,gas,automatic,5.3,143000,eastern,87000
toyota,avalon,2015,white,gas,automatic,3.5,100000,riyadh,87000
chevrolet,tahoe,2016,other,gas,automatic,5.3,217000,aseer,87000
toyota,avalon,2016,white,gas,automatic,3.5,86000,makkah,87000
toyota,land cruiser,2011,white,gas,automatic,4,400000,eastern,87000
toyota,hilux,2017,white,gas,automatic,2.7,62000,eastern,87000
toyota,hilux,2015,white,gas,automatic,2.7,117000,riyadh,87000
gmc,sierra,2015,brown,gas,automatic,5.3,145000,riyadh,87500
kia,cadenza,2019,white,gas,manual,3.3,72000,riyadh,88000
ford,expedition,2016,white,gas,automatic,5.4,81000,riyadh,88000
hyundai,santa fe,2020,black,gas,automatic,2.4,82000,riyadh,88000
kia,cadenza,2019,gray,gas,automatic,3.5,94000,riyadh,88000
toyota,land cruiser,2010,white,gas,automatic,4.6,344000,riyadh,88000
nissan,patrol,2016,white,gas,automatic,4.8,4700,riyadh,88000
lexus,es,2016,brown,gas,automatic,3.4,154000,eastern,88000
toyota,hilux,2018,white,gas,manual,2.7,27000,makkah,88000
ford,taurus,2018,black,gas,automatic,3.5,118000,eastern,88000
ford,explorer,2016,white,gas,automatic,3.5,127000,riyadh,88000
toyota,fj,2015,white,gas,automatic,4,200000,aseer,88000
mercedes,s,2010,brown,gas,automatic,3.8,114000,madinah,88000
ford,taurus,2019,red,gas,automatic,3.5,108000,eastern,88000
toyota,fj,2016,black,gas,automatic,4,381000,riyadh,88000
hyundai,sonata,2020,gray,gas,automatic,2.5,44000,riyadh,88000
lexus,gs,2015,white,gas,automatic,3.5,224,riyadh,88000
toyota,camry,2019,white,hybrid,automatic,2.5,152000,riyadh,88000
lexus,es,2015,white,gas,automatic,3.5,294000,riyadh,88000
nissan,altima,2020,black,gas,automatic,2.5,86000,riyadh,88000
gmc,sierra,2017,gray,gas,automatic,5.3,286900,riyadh,88000
hyundai,azera,2018,gray,gas,automatic,2.5,153462,riyadh,88000
gmc,sierra,2017,gray,gas,automatic,5.3,286900,riyadh,88000
toyota,hilux,2020,white,gas,automatic,2.7,93000,riyadh,88000
toyota,land cruiser,2014,white,gas,automatic,4,159000,makkah,88000
toyota,fortuner,2019,white,gas,automatic,2.7,100665,riyadh,88500
ford,taurus,2018,black,gas,automatic,3.5,100000,eastern,89000
toyota,fj,2015,white,gas,automatic,4,259880,riyadh,89000
ford,muang,2016,gray,gas,automatic,3.7,240000,eastern,89000
ford,taurus,2018,black,gas,automatic,3.5,100000,eastern,89000
hyundai,kona,2020,white,gas,automatic,2,3109,riyadh,89000
ford,expedition,2016,red,gas,automatic,3.5,70263,riyadh,89000
chevrolet,silverado,2018,white,gas,automatic,5.3,57000,eastern,89000
mercedes,cls,2014,white,gas,automatic,3,270000,eastern,89000
chevrolet,suburban,2015,white,gas,automatic,5.1,205000,madinah,89000
toyota,land cruiser,2011,white,gas,automatic,4.6,308000,eastern,89000
hyundai,sonata,2020,gray,gas,automatic,2.5,44590,riyadh,89500
mercedes,c,2015,gray,gas,automatic,2,73000,riyadh,90000
hyundai,genesis,2017,brown,gas,automatic,5,106000,riyadh,90000
toyota,land cruiser,2016,white,gas,manual,4,177000,riyadh,90000
toyota,land cruiser,2015,other,gas,manual,4,203843,riyadh,90000
chevrolet,caprice,2013,gray,gas,automatic,6.2,55769,riyadh,90000
chevrolet,caprice,2013,gray,gas,automatic,6,55700,riyadh,90000
lexus,es,2015,black,gas,automatic,3.6,232000,madinah,90000
nissan,patrol,2016,white,gas,automatic,4.8,5448,riyadh,90000
toyota,hilux,2017,white,gas,manual,2.7,100000,riyadh,90000
toyota,rav4,2018,black,gas,automatic,1.8,63000,makkah,90000
lexus,is,2016,gray,gas,automatic,3.5,132000,eastern,90000
ford,f-150,2016,white,gas,automatic,5,138,riyadh,90000
lexus,is,2016,gray,gas,automatic,3.5,166,eastern,90000
toyota,land cruiser,2019,white,gas,manual,4,89000,riyadh,90000
gmc,yukon,2013,other,gas,automatic,5.3,206000,riyadh,90000
lexus,es,2014,other,gas,automatic,3.5,121000,eastern,90000
toyota,hilux,2019,white,gas,manual,2.7,23000,makkah,90000
toyota,land cruiser,2015,white,gas,manual,4,157000,eastern,90000
ford,explorer,2015,blue,gas,automatic,2,40000,qassim,90000
gmc,yukon,2014,red,gas,automatic,5.3,92000,eastern,90000
toyota,prado,2016,gray,gas,automatic,4,67000,riyadh,90000
mercedes,s,2011,white,gas,automatic,3.8,132000,madinah,90000
toyota,land cruiser,2006,white,gas,manual,4.5,86000,eastern,90000
toyota,camry,2019,brown,gas,automatic,3.5,77000,eastern,90000
toyota,fj,2015,blue,gas,automatic,4,228000,makkah,90000
toyota,hilux,2018,white,gas,manual,2.7,48000,aseer,90000
toyota,camry,2019,white,hybrid,automatic,2.5,97000,eastern,90000
hyundai,elantra,2021,white,gas,automatic,2,3000,riyadh,90000
toyota,hilux,2017,white,gas,automatic,2.7,102000,eastern,90000
nissan,patrol,2013,yellow,gas,automatic,5.6,328000,riyadh,90000
lexus,es,2013,black,gas,automatic,3.6,137000,tabouk,90000
mercedes,ml,2013,black,gas,automatic,3.3,165000,riyadh,90000
hyundai,santa fe,2019,white,gas,automatic,3.5,240000,riyadh,90000
nissan,patrol,2016,white,gas,automatic,5.3,498000,riyadh,90000
toyota,prado,2015,white,gas,automatic,4,419800,riyadh,90000
toyota,prado,2015,white,gas,automatic,2.7,419800,riyadh,90000
mercedes,ml,2013,brown,gas,automatic,3.5,97000,madinah,90000
toyota,hilux,2018,white,gas,automatic,2.7,154000,eastern,90000
ford,taurus,2018,brown,gas,automatic,3.5,59000,eastern,91000
toyota,hilux,2016,white,gas,automatic,2.8,97000,makkah,91000
toyota,prado,2016,white,gas,automatic,6,180,qassim,91000
chevrolet,suburban,2015,brown,gas,automatic,5.3,118000,riyadh,91000
lexus,es,2016,yellow,gas,automatic,1.6,12472,eastern,91200
toyota,hilux,2018,white,gas,manual,2.7,94458,riyadh,91500
mercedes,c,2015,gray,gas,automatic,2,99000,makkah,91500
toyota,rav4,2020,white,gas,automatic,2,98000,riyadh,91500
toyota,land cruiser,2011,white,gas,automatic,4.5,183000,riyadh,92000
chevrolet,tahoe,2016,white,gas,automatic,5.3,197000,riyadh,92000
chevrolet,tahoe,2015,black,gas,automatic,5.3,121000,riyadh,92000
chevrolet,silverado,2016,brown,gas,automatic,5.3,112000,eastern,92000
toyota,fortuner,2016,white,diesel,automatic,2.4,120000,al-jouf,92000
ford,taurus,2018,other,gas,automatic,3.6,78000,riyadh,92000
toyota,camry,2020,gray,gas,automatic,2.5,20000,aseer,92000
